Organization,Centre ID,Centre Name,Region,City,Postal Code,Last Order Date,Current Status,Multi-site,Monthly Usage,Annual Usage,Notes
Helping Hands Daycare,472,Helping Hands Daycare - Pickering,Durham,Pickering,L1V 1A8,2024-12-06,Dormant 4,Yes,0.00,26.00,
Little Hands Childrens Learning Centre Inc.,477,Little Hands Childrens Learning Centre #2,Halton,Milton,L9T9H2,,Inactive/New,No,0.00,0.00,
Courtleigh Place Child Care Centre,478,Courtleigh Place Child Care Centre,Toronto,North York,M3A3K7,,Inactive/New,No,0.00,0.00,
John A. Leslie Child Care,483,John A. Leslie Child Care,Toronto,Scarborough,M1N 4A7,2025-05-26,Active,No,42.67,922.00,
Todays Child - Tomorrows Future Childrens Centre,484,Norman Cook,Toronto,Scarborough,M1K 1G4,,Inactive/New,No,0.00,0.00,
Friends Daycare,487,Friends Daycare,Toronto,Toronto,M5R 1C7,2025-03-04,Dormant 2,No,15.50,57.50,
Oak Park Neighbourhood Centre,489,Oak Park Neighbourhood Preschool,Halton,Oakville,L6H6M8,,Inactive/New,No,0.00,0.00,
Tot World Childcare,493,Tot World Childcare,Toronto,Toronto,M3N 1K1,2024-12-03,Dormant 4,No,0.00,21.00,
The Salvation Army,498,The Scott Mission Child Care Centre,Toronto,Toronto,M4B 2V3,,Inactive/New,Yes,0.00,0.00,
The Neighbourhood Group Community Services (SS),501,Harbourfront,Toronto,Toronto,M5V 3N2,2025-04-02,Dormant 1,Yes,22.56,119.67,
Happy Beginnings Day Care Centre Ltd.,504,Happy Beginnings Day Care Centre,Halton,Burlington,L7N2R5,,Inactive/New,No,0.00,0.00,
Discovery Place,505,Discovery Place,Toronto,Scarborough,M1G3S3,2025-05-27,Active,No,137.89,1872.69,
Evergreen Daycare,510,Evergreen Daycare,Toronto,Markham,L3R 5P1,2024-05-31,Dormant 4,No,0.00,35.00,
Gold Circle Early Childhood DayCare,512,Gold Circle Child Care,Toronto,Etobicoke,M9R1K8,2025-04-30,Active,No,69.92,378.92,
Thistleoaks Child Care Centre,515,Thistleoaks Child Care Centre,Halton,Oakville,L6K 1L8,,Inactive/New,No,0.00,0.00,
Yes I Can! Nursery School - York Mills,519,Yes I Can! Nursery School - York Mills,Toronto,Toronto,M2P 1B5,,Inactive/New,No,0.00,0.00,
Childventures Early Learning Academy ,520,Childventures Early Learning Academy - Burlington Campus,Halton,Burlington,L7M5A5,2024-03-19,Dormant 4,Yes,0.00,0.00,
Wilmington Best Childcare,522,Wilmington Best Childcare,Toronto,North York,M3H 5L1,,Inactive/New,No,0.00,0.00,
One Step At a Time,524,One Step at a Time,Toronto,Toronto,M6P2T3,,Inactive/New,No,0.00,0.00,
Centennial College,526,Centennial College - East York Campus,Toronto,East York,M4J 5C2,2025-05-30,Active,No,531.53,9065.42,
G.R.A.S.P.,527,Greenland Recreational Afterschool Program,Toronto,Toronto,M3C1N1,2023-09-15,Inactive/New,No,0.00,0.00,
Gledhill Ave. Child Care,529,Gledhill Ave. Child Care,Toronto,Toronto,M4C5K6,2022-06-24,Inactive/New,No,0.00,0.00,
Brians Petits Amis Children Centre,530,Brians Petits Amis Children Centre,Toronto,Toronto,M2J 3Y6,2025-05-29,Active,No,91.33,631.25,
Appleseed Academy of Early Learning,531,Appleseed Academy Early Learning,Peel,Mississauga,L4Y 1R4,2022-08-29,Inactive/New,No,0.00,0.00,
Blue Wave Childcare Centre,534,Blue Wave Childcare Centre,Toronto,Toronto,M3B 1C8,2023-05-25,Inactive/New,No,0.00,0.00,
Red Apple Day Care,535,Red Apple Day Care - Blessed John XXIII,Toronto,Toronto,M3C 3E7,,Inactive/New,No,0.00,0.00,
Kids Kingdom Nursery School,546,Kids Kingdom Nursery School,Toronto,North York,M3N 2Z5,,Inactive/New,No,0.00,0.00,
Start Right Child Care Centre,548,Start Right Child Care Centre,Toronto,North York,M6A 1L6,,Inactive/New,No,0.00,0.00,
Lakeside Co-Operative Playschool Inc,549,Lakeside Co-Operative Playschool,Toronto,Toronto,M4E 1E9,2024-04-01,Dormant 4,No,0.00,0.00,
Big Bears Daycare,550,Big Bears Daycare,Toronto,Scarborough,M1B 1G6,,Inactive/New,No,0.00,0.00,
Hydrokids - OPG Daycare,551,Hydrokids - OPG Daycare,Toronto,Toronto,M5G 1X6,2025-05-22,Active,No,67.22,1488.67,
Mill Valley Child Care Centre,558,Mill Valley Child Care Centre,Toronto,Etobicoke,M9C 1Y9,2025-01-31,Dormant 3,No,0.00,49.50,
Smart Little Children Inc.,559,Smart Little Children Day Care Center,Halton,Oakville,L6L5L7,,Inactive/New,No,0.00,0.00,
University of Toronto - Mississauga,565,U of T (Mississauga),Peel,Mississauga,L5L 1C6,2025-05-22,Active,No,157.11,1174.41,
Pride in Heritage Child Care,568,Pride in Heritage Child Care,Toronto,Toronto,M3C 1B4,2025-05-30,Active,No,129.94,1406.83,
The Rec Room,569,The Rec Room - Royal York,Toronto,Etobicoke,M8V 2V8,,Inactive/New,No,0.00,0.00,
The John Wanless Child Care Program,571,The John Wanless Child Care Program,Toronto,Toronto,M5M 1T2,,Inactive/New,No,0.00,0.00,
Kidlogic,576,Kidlogic - Oakville,Halton,Oakville,L6J 3J3,,Inactive/New,No,0.00,0.00,
Little Friends Preschool,582,Little Friends Preschool,Halton,Burlington,L7M 1W7,,Inactive/New,No,0.00,0.00,
Rocket Academy of Learning Inc.,586,Rocket Academy and Early Learning Centre,Peel,Brampton,L6Z0E3,,Inactive/New,No,0.00,0.00,
Kindercircle Day Care,587,Kindercircle Day Care,Toronto,Toronto,M4G 1R8,,Inactive/New,No,0.00,0.00,
Green Apple Kids,588,Green Apple Kids,Toronto,Toronto,M6S 2T1,2024-06-18,Dormant 4,No,0.00,45.50,
Green Apple Kids,588,Green Apple Kids - Dundas,Toronto,Toronto,M5S 3L3,2024-06-18,Dormant 4,No,0.00,45.50,
Kinder Buddies Childcare,590,Kinder Buddies Childcare and Development Centre,Halton,Oakville,L6H6Z7,,Inactive/New,No,0.00,0.00,
St. George's School Age Child Care Programme,591,St. George's School Age Child Care Programme (Facility #11987),Toronto,Toronto,M9A 2P7,2025-05-12,Active,No,22.28,132.84,
Learning Jungle Durham,592,Learning Jungle - Ajax,Durham,Ajax,L1S 2G8,2025-05-07,Active,Yes,44.36,295.08,
Helene Comay Nursery School,597,Helene Comay Nursery School,Toronto,Toronto,M6G4C7,2023-06-07,Inactive/New,No,0.00,0.00,
Little Feet Big Dreams Child Care Inc.,598,Little Feet Big Dreams Child Care,Halton,Oakville,L6J 7R2,,Inactive/New,No,0.00,0.00,
Pearson Community Co-op Nursery School Inc.,599,Pearson Community Co-Operative Nursery School,Halton,Burlington,L7P4S6,,Inactive/New,No,0.00,0.00,
The Nottinghill Educational Rec Centre Ltd.,600,Cradle 2 Kinder,Halton,Oakville,L6L 5W4,,Inactive/New,No,0.00,0.00,
Dearham Wood Daycare,603,Dearham Wood Daycare,Toronto,Scarborough,M1E1S4,2022-11-17,Inactive/New,No,0.00,0.00,
Gan Yeladim Day Care,608,Gan Yeladim Day Care,Toronto,Toronto,M3H5G7,2025-04-24,Active,No,142.13,314.50,
Social Enterprise for Canada,614,Our Lady of Fatima Catholic School,York Region,Woodbridge,L4L 7G3,2025-05-26,Active,Yes,15.50,22.50,
Lambton Kings Way B&A,624,Lambton Kings Way B&A,Toronto,Etobicoke,M8X 2M6,2025-05-28,Active,No,9.81,146.34,
Fairview Glen Private Schools Ltd.,625,Fairview Glen Montessori,Halton,Burlington,L7N3L7,,Inactive/New,No,0.00,0.00,
Graydon Hall Nursery Schools,626,Avenue Road Child Care Centre,Toronto,North York,M5N 2J1,2022-06-10,Inactive/New,Yes,0.00,0.00,
Graydon Hall Nursery Schools,627,Bayview Gardens,Toronto,North York,M2K1G2,,Inactive/New,Yes,0.00,0.00,
Graydon Hall Nursery Schools,628,Finch Business Park Child Care,Toronto,North York,M3J 2G3,2022-11-18,Inactive/New,Yes,0.00,0.00,
Graydon Hall Nursery Schools,629,Graydon Hall Nursery Schools - Ferrand,Toronto,North York,M3C3E5,2023-05-02,Inactive/New,Yes,0.00,0.00,
Graydon Hall Nursery Schools,630,Sheppard Business Park,Toronto,North York,M2K2S5,,Inactive/New,Yes,0.00,0.00,
Graydon Hall Nursery Schools,631,Sheppard Square Child Care,Toronto,Scarborough,M1B2L4,,Inactive/New,Yes,0.00,0.00,
Graydon Hall Nursery Schools,632,Stouffville Village Child Care,Toronto,Stouffville,L4A6A8,,Inactive/New,Yes,0.00,0.00,
Cudley Corner Child Care Centre Ltd.,634,Cudley Corner - Thompson Road,Halton,Milton,L9T0J9,,Inactive/New,No,0.00,0.00,
Ace After Four Childrens Enrichment Program,635,After Four Childrens Enrichment Program,Toronto,Scarborough,M1R 4R7,,Inactive/New,No,0.00,0.00,
Cudley Corner Child Care Centre Ltd.,636,Cudley Corner - Nipissing Rd.,Halton,Milton,L9T4Z9,,Inactive/New,No,0.00,0.00,
Odyssey Montessori School,644,Odyssey Montessori School,Toronto,Toronto,M6R 2E4,,Inactive/New,No,0.00,0.00,
New Playland Nursery School,645,New Playland Nursery School,Peel,Mississauga,L5B 1L9,,Inactive/New,No,0.00,0.00,
Teddy Bear Academy,649,Teddy Bear Academy,Toronto,Toronto,M6P 2S3,,Inactive/New,No,0.00,0.00,
Early Enrichment Day Care,651,Early Enrichment Day care,Toronto,Toronto,M6P 1L5,,Inactive/New,No,0.00,0.00,
Montessori School House - Vaughan,653,Montessori School House - Vaughn,York Region,Maple,L6A4L6,,Inactive/New,No,0.00,0.00,
Churchill Chums School Age Childcare Centre,658,Churchill Chums School Age,Toronto,Toronto,M2N 1Z5,2022-09-02,Inactive/New,No,0.00,0.00,
Native Child - Toronto,669,Kiiwednong Early Learning Centre,Toronto,Toronto,M6M 4R3,2025-05-21,Active,Yes,31.33,126.58,
The Salvation Army,671,The Salvation Army - Kid-Z-Own,Toronto,East York,M4C 4J9,,Inactive/New,Yes,0.00,0.00,
The Orchard Childrens Centre Inc.,675,The Orchard Childrens Centre,Halton,Burlington,L7M 4B8,,Inactive/New,No,0.00,0.00,
Milton Community Resource Centre,678,Chris Hadfield PS,Halton,Milton,L9T 5P5,,Inactive/New,Yes,0.00,0.00,
TLC Child Learning Centre,680,TLC Child Learning Centre - Tender Loving CC,York Region,York,M9N 2B9,,Inactive/New,No,0.00,0.00,
Trinity Bellwoods Community Childrens Group/Care,683,Trinity Bellwoods Community Childrens Group,Toronto,Toronto,M6J 2V5,2025-05-30,Active,No,17.00,274.33,
Bridgeway Family Centre,687,BFC - Meadowvale,Peel,Mississauga,L5N 8E8,,Inactive/New,Yes,0.00,0.00,
CDI,688,Parkdale-High Park EarlyON Child and Family Centre,Toronto,Toronto,M6P 1Y8,,Inactive/New,Yes,0.00,0.00,
Charlottetown Blvd Childcare Centre,689,Charlottetown Blvd Childcare Centre,Toronto,Scarborough,M1C 2P7,2025-05-07,Active,No,16.31,375.90,
Park Lawn Preschool Inc.,693,PLP Early Learning Centre - St. Mark,Toronto,Etobicoke,M8Y 1T4,,Inactive/New,No,0.00,0.00,
Park Lawn Preschool Inc.,694,Parklawn Preschool,Toronto,Etobicoke,M8Y4B6,,Inactive/New,No,0.00,0.00,
Tropicana Community Services,700,Children of Tomorrow - 431 McCowan,Toronto,Toronto,M1J 1J1,2025-05-16,Active,No,31.92,418.75,
Forest Grove Preschool Academy,703,Forest Grove Preschool Academy,Halton,Oakville,L6M 3W6,,Inactive/New,No,0.00,0.00,
Curlew Montessori School,704,Curlew Montessori School,Toronto,North York,M3A 2P8,2022-07-04,Inactive/New,No,0.00,0.00,
Kidex Academy,706,Kidex Academy,Halton,Oakville,L6L 6W2,,Inactive/New,No,0.00,0.00,
Woodland Childrens Centre Ltd,709,Woodland Childrens Centre Ltd.,Halton,Burlington,L7P 2T3,,Inactive/New,No,0.00,0.00,
Helping Hands Daycare,710,Helping Hands Daycare - Westney,Durham,Ajax,L1S1R8,2023-01-27,Inactive/New,Yes,0.00,0.00,
Helping Hands Daycare,710,Helping Hands Daycare Lakeside - Ajax,Durham,Ajax,L1Z 1L3,2023-01-27,Inactive/New,Yes,0.00,0.00,
Alton Kids Child Care Center,711,Alton Kids Child Care Center,tonO,Burlington,L7M 0V6,,Inactive/New,No,0.00,0.00,
YMCA of Hamilton / Burlington / Brantford,712,HCDSB - Holy Rosary,Halton,Burlington,L7T 2C7,,Inactive/New,Yes,0.00,0.00,
YMCA of Hamilton / Burlington / Brantford,713,HCDSB - St. John Catholic Elementary School,Halton,Burlington,L7R 2H1,,Inactive/New,Yes,0.00,0.00,
Oakville Family YMCA,715,HCDSB - St. Luke Catholic Elementary School,Halton,Oakville,L6J7G5,,Inactive/New,Yes,0.00,0.00,
The Chartwell House Early Learning Centre Inc.,716,The Chartwell House Early Learning Centre,Halton,Oakville,L6J 4A6,,Inactive/New,No,0.00,0.00,
YMCA of Greater Toronto,718,HCDSB - Our Lady of Fatima Catholic Elem School,Halton,Milton,L9T 6Z3,,Inactive/New,Yes,0.00,0.00,
YMCA of Greater Toronto,719,HCDSB - St. Peter Catholic Elementary School,Halton,Milton,L9T 5P7,,Inactive/New,Yes,0.00,0.00,
Kids and Company Ltd. - Halton,721,Monkey See Monkey Do/Abbeywood,Halton,Oakville,L6M3B2,,Inactive/New,Yes,0.00,0.00,
Hollywood All Stars Child Care,725,Hollywood All Stars Child Care,Toronto,Toronto,M2N 3L4,,Inactive/New,No,0.00,0.00,
Annex Montessori Inc.,729,Annex Montessori Inc.,Toronto,Toronto,M5S 1X7,,Inactive/New,No,0.00,0.00,
Le Club - York,732,Le Club - Ventura Park,York Region,Thornhill,L4J7V5,,Inactive/New,Yes,0.00,0.00,
Le Club - York,733,Le Club - Richmond Rose,York Region,Richmond Hill,L4S1S7,,Inactive/New,Yes,0.00,0.00,
Le Club - York,736,Le Club - Bond Lake,York Region,Richmond Hill,L4E5B9,,Inactive/New,Yes,0.00,0.00,
Le Club - York,737,Le Club - Blue Willow,York Region,Woodbridge,L4L9E1,,Inactive/New,Yes,0.00,0.00,
Le Club - Toronto,738,Le Club - Roy H. Crosby,York Region,Markham,L3P1G9,,Inactive/New,Yes,0.00,0.00,
Le Club - York,739,Le Club - Vellore Woods,York Region,Woodbridge,L4H2T9,,Inactive/New,Yes,0.00,0.00,
Le Club - York,740,Le Club - Trillium Woods,York Region,Richmond Hill,L4S2P3,,Inactive/New,Yes,0.00,0.00,
The French Connection at John Fisher Inc.,745,The French Connection at John Fisher Inc.,Toronto,Toronto,M4P 1Y2,2025-05-30,Active,No,16.50,130.08,
Wee Ones Childcare Academy Ltd.,749,Wee Ones Childcare Academy,Halton,Milton,L9T 1P7,,Inactive/New,No,0.00,0.00,
Oakville Family YMCA,752,Oakville Family YMCA SACC - Abbey Lane,Halton,Oakville,L6M1S4,,Inactive/New,Yes,0.00,0.00,
Oakville Family YMCA,753,Oakville Family YMCA SACC - James W. Hill,Halton,Oakville,L6J6R3,,Inactive/New,Yes,0.00,0.00,
Start2Finish,754,Oakville - Oakwood Public School - Running & Reading Club,Halton,Oakville,L6K 3E5,,Inactive/New,No,0.00,0.00,
Oakville Family YMCA,755,Oakville Family YMCA SACC - Palermo,Halton,Oakville,L6M5H4,,Inactive/New,Yes,0.00,0.00,
Oakville Family YMCA,756,Oakville Family YMCA SACC - Morden,Halton,Oakville,L6K2S3,,Inactive/New,Yes,0.00,0.00,
YMCA of Greater Toronto,757,YMCA Toronto - Escarpment View School Age,Halton,Milton,L9T 0T1,,Inactive/New,Yes,0.00,0.00,
YMCA of Hamilton / Burlington / Brantford,759,YMCA Ham/Burl - YMCA SACC - Kings Road,Halton,Burlington,L7T 3P3,,Inactive/New,Yes,0.00,0.00,
YMCA of Hamilton / Burlington / Brantford,760,YMCA Lakeshore SACC,Halton,Burlington,L7R 1B1,,Inactive/New,Yes,0.00,0.00,
YMCA of Hamilton / Burlington / Brantford,761,YMCA Ham/Burl - YMCA SACC - Mohawk Gardens,Halton,Burlington,L7L 1N3,,Inactive/New,Yes,0.00,0.00,
YMCA of Hamilton / Burlington / Brantford,762,YMCA Ham/Burl - YMCA SACC - Tom Thomson,Halton,Burlington,L7R 1Z6,,Inactive/New,Yes,0.00,0.00,
YMCA of Hamilton / Burlington / Brantford,763,HCDSB - St. Patrick Catholic Elementary School,Halton,Burlington,L7L 4L8,,Inactive/New,Yes,0.00,0.00,
Milton Community Resource Centre,765,P.L. Robertson,Halton,Milton,L9T 2C9,,Inactive/New,Yes,0.00,0.00,
Milton Community Resource Centre,766,MCRC - Hawthorne Village,Halton,Milton,L9T 6X9,,Inactive/New,Yes,0.00,0.00,
Oakville Academy for the Arts,768,Oakville Academy for the Arts,Halton,Oakville,L6H 3Z7,2025-03-14,Dormant 2,No,45.00,45.00,
Centro Clinton Day Care Centre,770,Centro Clinton Day Care Centre,Toronto,Toronto,M6G 2V7,2025-05-06,Active,No,54.47,618.75,
Mackenzie Health Child Care,780,York Central Hospital Childcare,York Region,Richmond Hill,L4C 4Z3,2025-05-28,Active,No,14.50,14.50,
Marian Montessori School (941456 Ontario Inc.),781,Marian Montessori School,Halton,Oakville,L6M2X7,,Inactive/New,No,0.00,0.00,
Upper Yonge Village Childcare Centre,782,Upper Yonge Village Childcare Centre,Toronto,Toronto,M4R 1G9,2024-02-07,Dormant 4,No,0.00,0.00,
Learning Jungle Toronto,784,Learning Jungle - Kennedy,Toronto,Scarborough,M1V 3S8,,Inactive/New,Yes,0.00,0.00,
COSTI - Toronto,794,COSTI - Markham North,Toronto,Markham,L3R 4N7,2023-05-02,Inactive/New,Yes,0.00,0.00,
Kids Connection - York,803,Kids Connection Care & Education - St. Monica,York Region,Markham,L6C 1V1,,Inactive/New,Yes,0.00,0.00,
HCDSB - Lumen Christie Catholic Elementary School,804,HCDSB - Lumen Christie Catholic Elementary School,Halton,Milton,L9T 0Z1,,Inactive/New,No,0.00,0.00,
Building Blocks Nursery School,809,Building Blocks Nursery School - Brampton,Peel,Brampton,L6Z4S3,,Inactive/New,No,0.00,0.00,
Kids Connection - York,820,Kids Connection - Christ The King,York Region,Richmond Hill,L4B2E1,,Inactive/New,Yes,0.00,0.00,
Kids Connection - York,821,Kids Connection - Richmond Hill,York Region,Richmond Hill,L4B4P9,2025-03-21,Dormant 2,Yes,18.00,57.00,
Wonder Kidz,823,Clarkson Angels North -1146,Peel,Mississauga,L5J 2W2,2023-11-10,Inactive/New,No,0.00,0.00,
Little Angels Christian Child Care,826,Little Angels 2,Peel,Mississauga,L5N1A5,,Inactive/New,No,0.00,0.00,
Mississauga Italian Canadian Benevolent Association (MICBA),827,Forum Italia Daycare,Peel,Mississauga,L4Z 3M9,2023-11-02,Inactive/New,No,0.00,0.00,
Meadowest Preschool Inc,830,Meadowest Preschool,Peel,Mississauga,L5N4W8,,Inactive/New,No,0.00,0.00,
Burlington Montessori Preschool,836,Burlington Montessori Preschool,Halton,Burlington,L7R 3X5,,Inactive/New,No,0.00,0.00,
Windermere Kids Inc.,842,Windermere Kids Inc.,Toronto,Toronto,M6S 3L3,2025-01-17,Dormant 4,No,0.00,92.58,
Little Kids Daycare Center Inc.,843,Little Kids Daycare Center - Oakville,Halton,Oakville,L6H7K9,,Inactive/New,No,0.00,0.00,
Scarborough Village Day Nursery,847,Scarborough Village Day Nursery #1,Toronto,Scarborough,M1J 3C4,2025-05-30,Active,No,185.36,666.08,
EYET,852,Crescent Town School,Toronto,East York,M4C 5M9,2023-08-24,Inactive/New,Yes,0.00,0.00,
EYET Early Learning Centre,852,Crescent Town School EYET,Toronto,East York,M4C5M9,2023-08-24,Inactive/New,Yes,0.00,0.00,
Native Child - Toronto,854,Galloway - Native Child and Family Services,Toronto,Toronto,M1E 1X2,2025-05-30,Active,Yes,130.56,2411.42,
Scarborough Village Day Nursery,857,Scarborough Village Day Nurseries Ltd. #2,Toronto,Toronto,M1M 3A1,2025-05-26,Active,No,13.67,562.41,
Hearts In Bloom Academy,858,Hearts in Bloom Academy,Peel,Mississauga,L5N 5M4,2022-10-20,Inactive/New,No,0.00,0.00,
Royal Cachet Montessori School,859,Royal Cachet Montessori - Markham Campus,Toronto,Markham,L6C 1H7,2022-08-25,Inactive/New,No,0.00,0.00,
Tiny Steps CCC,860,Tiny Steps CCC,York Region,Maple,L6A 0J5,,Inactive/New,No,0.00,0.00,
Archway Montessori,868,Archway Montessori,Toronto,Scarborough,M1H1A8,,Inactive/New,No,0.00,0.00,
Heart Beatz Cliffcrest Community Centre,871,Heart Beatz - Solaris,Toronto,Scarborough,M1S0L3,2023-03-22,Inactive/New,No,0.00,0.00,
Abacus Montessori Learning Centre,872,Abacus Montessori,Toronto,East York,M4B 1M8,2025-03-31,Dormant 1,No,10.50,52.92,
LEF - Toronto,873,LEF - Silverthorn Daycare,Toronto,Toronto,M6M1V1,2025-05-16,Active,Yes,16.47,205.58,
LEF - Toronto,874,116 Industry Street,Toronto,Toronto,M6M4L8,2025-05-16,Active,Yes,5.96,51.45,
LEF - Toronto,877,LEF - Romeo Bears Chidcare Centre,Toronto,Toronto,M6N 2H4,2025-04-21,Active,Yes,6.92,13.92,
LEF - Toronto,878,LEF - Vaughan Road Child,Toronto,Toronto,M6C2R1,2025-05-15,Active,Yes,16.50,40.00,
LEF - Toronto,879,LEF - York Humber Child Care Centre,Toronto,Toronto,M6M2E6,2025-05-16,Active,Yes,7.00,46.58,
LEF - Toronto,880,LEF - St. Andrew Child Care Centre,Toronto,Toronto,M9V3A8,2025-05-15,Active,Yes,6.00,36.67,
LEF - Toronto,882,LEF - Immaculate Conception Childcare Centre,Toronto,Toronto,M6M2K9,2025-05-20,Active,Yes,17.00,140.17,
LEF - Toronto,884,LEF - Fairbank Memorial Day Care,Toronto,Toronto,M6E4M2,,Inactive/New,Yes,0.00,0.00,
LEF - Toronto,886,LEF - Humewood Day Care Centre,Toronto,Toronto,M6C2X4,2025-05-12,Active,Yes,29.33,138.24,
LEF - Toronto,887,LEF - J.R. Wilcox Community,Toronto,Toronto,M6C1X3,2025-05-16,Active,Yes,44.42,221.33,
LEF - Toronto,888,LEF - Roseland Day Care,Toronto,Toronto,M6N4E2,2025-05-05,Active,Yes,13.63,48.25,
LEF - Toronto,889,LEF - St. Dorothy Child Care Centre,Toronto,Etobicoke,M9V1N7,2025-05-16,Active,Yes,3.00,100.75,
LEF - Toronto,890,LEF - St. Roch Child Care,Toronto,Toronto,M9L2E3,2025-05-20,Active,Yes,9.33,187.00,
LEF - Toronto,893,LEF - H.J. Alexander B&A;,Toronto,North York,M9N1K9,,Inactive/New,Yes,0.00,0.00,
LEF - Toronto,895,LEF - King George B&A;,Toronto,Toronto,M6S2M2,2025-04-25,Active,Yes,16.89,80.75,
LEF - Toronto,896,LEF - Lambton Park B&A;,Toronto,Toronto,M6N1W9,,Inactive/New,Yes,0.00,0.00,
LEF - Toronto,897,LEF - Portage Trail B&A;,Toronto,Toronto,M6M5H6,,Inactive/New,Yes,0.00,0.00,
LEF - Toronto,898,LEF - Rawlinson B&A;,Toronto,Toronto,M6E3C7,2025-05-05,Active,Yes,21.69,87.08,
LEF - Toronto,900,LEF - Weston Memorial B & A,Toronto,Toronto,M9N1K2,2025-02-03,Dormant 3,Yes,1.17,17.17,
LEF - Toronto,902,LEF - George Harvey Childcare,Toronto,Toronto,M6M3W5,2025-05-15,Active,Yes,6.50,71.25,
Petite Maison Montessori,906,Petite Maison Montessori,Toronto,Toronto,M4K2K7,,Inactive/New,No,0.00,0.00,
York University Co-operative Day Care Centre,914,York University Co-operative Day Care Centre,Toronto,North York,M3J 2S5,2022-10-06,Inactive/New,No,0.00,0.00,
Kidz360,921,Kidz360,Toronto,Toronto,M6S2S4,,Inactive/New,No,0.00,0.00,
Cudley Corner Child Care Centre Ltd.,923,Cudley Corner - Derry,Halton,Milton,L9T7W1,,Inactive/New,No,0.00,0.00,
YMCA of Greater Toronto,926,Robert Baldwin YMCA Schoolage Program,Halton,Milton,L9T 3J9,,Inactive/New,Yes,0.00,0.00,
Oakville Family YMCA,928,Oakville Family YMCA SACC - Post Corners,Halton,Oakville,L6H6B5,,Inactive/New,Yes,0.00,0.00,
Native Child - York,929,Native Child & Family Serv. - Epnigishmok,Toronto,Toronto,M6E2A2,2024-02-05,Dormant 4,Yes,0.00,0.00,
Milton Community Resource Centre,931,ELC,Halton,Milton,L9T 2L5,,Inactive/New,Yes,0.00,0.00,
Oakville Family YMCA,937,Captain R. Wilson Public School,Halton,Oakville,L6M4S7,,Inactive/New,Yes,0.00,0.00,
Oakville Family YMCA,938,Oakville Family YMCA SACC - Eastview,Halton,Oakville,L6L1T4,,Inactive/New,Yes,0.00,0.00,
YMCA of Greater Toronto,939,Martin Street YMCA,Halton,Milton,L9T 2R4,,Inactive/New,Yes,0.00,0.00,
YMCA of Hamilton / Burlington / Brantford,941,YMCA Ham/Burl - YMCA SACC - Paul A. Fisher,Halton,Burlington,L7P 3J8,,Inactive/New,Yes,0.00,0.00,
YMCA of Hamilton / Burlington / Brantford,942,YMCA Ham/Burl - YMCA SACC - Maplehurst,Halton,Burlington,L7T 2E2,,Inactive/New,Yes,0.00,0.00,
YMCA of Hamilton / Burlington / Brantford,944,YMCA Ham/Burl - YMCA SACC - Glenview,Halton,Burlington,L7T 1Z1,,Inactive/New,Yes,0.00,0.00,
YMCA of Hamilton / Burlington / Brantford,945,YMCA Ham/Burl - YMCA SACC - Florence Meares,Halton,Burlington,L7M 4W6,,Inactive/New,Yes,0.00,0.00,
YMCA of Hamilton / Burlington / Brantford,946,YMCA Ham/Burl - YMCA SACC - Bruce T. Lindley,Halton,Burlington,L7P 4K5,,Inactive/New,Yes,0.00,0.00,
Braeburn Neighbourhood Place,951,Braeburn Afterschool Program,Toronto,Etobicoke,M9W 2N9,2023-11-25,Inactive/New,No,0.00,0.00,
Oakville Family YMCA,952,Oakville Family YMCA - River Oaks Junior YMCA,Halton,Oakville,L6H3S7,,Inactive/New,Yes,0.00,0.00,
Oakville Family YMCA,953,Oakville Family YMCA SACC - Gladys Speers,Halton,Oakville,L6L2P6,,Inactive/New,Yes,0.00,0.00,
Erindale Nursery School,961,Erindale Nursery School,Peel,Mississauga,L5C1Y2,,Inactive/New,No,0.00,0.00,
YMCA of Hamilton / Burlington / Brantford,966,HCDSB - St. Mark Catholic Elementary School,Halton,Burlington,L7P 3P4,,Inactive/New,Yes,0.00,0.00,
Oakville Family YMCA,969,HCDSB - St. Andrew Catholic Elementary School,Halton,Oakville,L6H6G3,,Inactive/New,Yes,0.00,0.00,
Kidz Kare Daycare Toronto Inc.,989,Kidz Kare Daycare Toronto Inc.,Toronto,Toronto,M5J0A3,,Inactive/New,No,0.00,0.00,
Springdale Learning Centre,990,Robert J. Lee P.S.,Peel,Brampton,L6R 1J1,2022-06-16,Inactive/New,No,0.00,0.00,
Dunloe Childrens Centre,994,Dunloe Childrens Centre,Toronto,Toronto,M5P2T6,2025-01-27,Dormant 3,No,0.00,49.50,
Native Child - Toronto,1003,Native Child and Family Services - Here to Help,Toronto,Toronto,M5G1K2,,Inactive/New,Yes,0.00,0.00,
Carmelite Day Nursery,1006,Carmelite Day Nursery,Toronto,Toronto,M6J2A3,2024-04-17,Dormant 4,No,0.00,0.00,
YMCA of Hamilton / Burlington / Brantford,1008,YMCA Ham/Burl - YMCA SACC - John T. Tuck,Halton,Burlington,L7N 1J7,2023-01-31,Inactive/New,Yes,0.00,0.00,
Seedlings Childrens Centre,1009,Seedlings Childrens Centre,Halton,Oakville,L6L 3C8,,Inactive/New,No,0.00,0.00,
First Academy Child Care Centre,1014,First Academy Child Care Centre,Toronto,Markham,L3R9C2,,Inactive/New,No,0.00,0.00,
