Organization,Centre ID,Centre Name,Region,City,Postal Code,Last Order Date,Current Status,Multi-site,Monthly Usage,Annual Usage,Notes
Learning Jungle Toronto,102,Learning Jungle School - Buttonwood,Toronto,Etobicoke,M6M 5H6,2025-02-07,Dormant 3,Yes,6.00,63.00,
Kids Haven Community Child Care,103,Kids Haven Community Child Care,Toronto,North York,M2H 1M1,2023-07-31,Inactive/New,No,0.00,0.00,
Arpi Nursery School Inc.,104,Arpi Nursery School Inc.,Toronto,Toronto,M3K2E2,,Inactive/New,No,0.00,0.00,
Playhouse Child Care Centre Inc.,105,Playhouse Child Care Centre Inc.,Toronto,North York,M3C 1N1,,Inactive/New,No,0.00,0.00,
Service a L'enfance Aladin Childcare Services Inc.,106,Service a L'enfance Aladin Childcare Services Inc.,Ottawa,Ottawa,K1G 1B3,2025-05-16,Active,No,3.00,1145.01,
The Apple Tree Preschool,107,The Apple Tree Preschool - Ajax,Durham,Ajax,L1Z 1W3,2023-02-03,Inactive/New,No,0.00,0.00,
Prosserman Jewish Community Centre,109,Prosserman Jewish Community Centre,Toronto,North York,M2R 1W6,,Inactive/New,No,0.00,0.00,
Armour Heights Childcare Program,110,Armour Heights Childcare Program,Toronto,North York,M5M 3A5,2025-05-30,Active,No,158.42,1891.58,
Ranleigh Rascals Daycare Inc.,111,Ranleigh Rascals Daycare Inc.,Toronto,Toronto,M4N 1X2,2025-05-14,Active,No,15.00,185.75,
Cheer Day Care Centre of Scarborough,113,Cheer Day Care Centre,Toronto,Scarborough,M1V 3S8,2024-01-29,Dormant 4,No,0.00,0.00,
John G. Althouse - Tromley,114,John G. Althouse Before and After School Program,Toronto,Etobicoke,M9B 5Y7,2025-04-04,Dormant 1,No,9.33,80.50,
Martin Luther Church Daycare,115,Martin Luther Church Daycare,Toronto,Toronto,M8V 1B7,2025-05-15,Active,No,59.75,266.50,
Kreative Kids Child Care Centre,116,Kreative Kids Child Care Centre - St. Sylvester,Toronto,Scarborough,M1W 3R3,2023-08-31,Inactive/New,No,0.00,0.00,
Learning Jungle York,118,Learning Jungle - Vaughan South,York Region,Woodbridge,L4L OK7,2025-05-21,Active,Yes,13.75,298.84,
Childrens Circle of St. Barnabas,119,Childrens Circle of St. Barnabas,Toronto,Toronto,M4K 2Z3,2025-05-16,Active,No,5.00,783.50,
Downsview Child Care Centre,121,Downsview Child Care Centre,Toronto,North York,M3M 0B7,2023-05-26,Inactive/New,No,0.00,0.00,
Westboro Jewish Montessori Preschool,123,Westboro Jewish Montessori Preschool,Ottawa,Ottawa,K1Z 7H9,,Inactive/New,No,0.00,0.00,
Chapel Place Daycare,124,Chapel Place Daycare,York Region,Markham,L3R 9C4,2023-04-04,Inactive/New,No,0.00,0.00,
Northlea Community Child Care,138,Northlea Community Child Care,Toronto,Toronto,M4G 1R4,2022-06-24,Inactive/New,No,0.00,0.00,
Faith Lutheran Day Care Centre of Downsview Inc.,140,Faith Lutheran Day Care Centre of Downsview Inc.,Toronto,Toronto,M3J 1V8,2025-03-14,Dormant 2,No,67.00,582.50,
Queens Park Childcare Centre,143,Queens Park Childcare Centre,Toronto,Toronto,M7A 1Z5,,Inactive/New,No,0.00,0.00,
